destino,distancia
Maipu,21.55
Cerrillos,16.21
Pedro Aguirre Cerda,12.72
Lo Espejo,14.51
Estacion Central,15.12
Lo Prado,17.23
Pudahuel,28.72
Cerro Navia,19.41
Quinta Normal,16.12
Santiago,7.30
San Miguel,10.59
San Joaquin,7.55
Macul,6.10
Nunoa,6.78
Providencia,8.87
Recoleta,12.59
Independencia,15.12
Conchali,17.04
Renca,20.37
Huechuraba,15.47
La Reina,3.68
Las Condes,9.64
Vitacura,11.79
Lo Barnechea,14.79
La Florida,4.80
La Granja,10.12
San Ramon,11.58
La Cisterna,12.73
Puente Alto,15.22
La Pintana,14.35
El Bosque,15.60
San Bernardo,17.71
Padre Hurtado,27.77
Pirque,31.74
San Jose de Maipo,41.73
Quilicura,20
Penalolen,0
