destino,distancia
Quilicura,31.68
Puente Alto,0
Pirque,18.36
San Jose De Maipo,39.67
La Pintana,6.96
La Florida,10.55
La Granja,10.60
San Ramon,10.91
La Cisterna,13.01
El Bosque,11.42
San Bernardo,11.52
Penalolen,15.22
La Reina,18.55
Las Condes,24.78
Vitacura,26.52
Lo Barnechea,29.99
Huechuraba,28.26
Recoleta,24.21
Conchali,28.05
Independencia,24.88
Renca,28.48
Cerro Navia,26.49
Pudahuel,33.63
Quinta Normal,24.23
Lo Prado,23.23
Estacion Central,21.18
Maipu,21.35
Padre Hurtado,23.29
Pedro Aguirre Cerda,17.31
Lo Espejo,15.10
Santiago,22.24
Providencia,20.60
Nunoa,18.23
Macul,14.71
San Joaquin,13.61
San Miguel,15.49
